詞彙,漢語拼音,詞類
排,pái ,(VA)
牌子,páizi ,(N)
盼望,pànwàng ,(VS)
旁,páng ,(N)
陪,péi ,(VA)
培養,péiyăng ,(VA)
配,pèi ,(VA)
配合,pèihé ,(VA)
碰,pèng ,(VA)
碰到,pèngdào ,(VA)
碰上,pèngshàng ,(VA)
批評,pīpíng ,(VA)
皮,pí ,(N)
皮帶,pídài ,(N)
皮膚,pífū ,(N)
皮鞋,píxié ,(N)
篇,piān ,(M)
騙子,piànzi ,(N)
品質,pĭnzhí ,(N)
坪,píng ,(M)
平,píng ,(VS)
平安,píngān ,(VS)
平等,píngděng ,(VS)
平時,píngshí ,(N)
平原,píngyuán ,(N)
瓶子,píngzi,(N)
破,pò,(VS)
破壞,pòhuài ,(VA)
葡萄,pútáo ,(N)
普遍,pŭbiàn ,(VS)
欺負,qīfù ,(VA)
其次,qícì ,(Conj)
其實,qíshí ,(Adv)
其中,qízhōng ,(Det)
期,qí,(M)
期間,qíjiān ,(N)
起,qĭ,(N)
起,qĭ,(VA)
起,qĭ,
起來,qĭlái ,
氣,qì ,(N)
氣,qì ,(VS)
氣溫,qìwēn ,(N)
汽水,qìshuǐ,(N)
企業,qìyè ,(N)
簽名,qiānmíng ,(VA)
簽證,qiānzhèng ,(N)
謙虛,qiānxū ,(VS)
前,qián ,(Det)
前,qián ,(N)
前年,qiánnián ,(N)
淺,qiǎn ,(VS)
強盜,qiángdào ,(N)
強調,qiángdiào ,(VA)
